2024-04-30T18:39:15,803 INFO  com.vinnivso.simplemarket.SimpleMarketApplication - Starting SimpleMarketApplication using Java 21.0.2 with PID 16584 (C:\Users\VINNIVSO\Desktop\simple-market\target\classes started by VINNIVSO in C:\Users\VINNIVSO\Desktop\simple-market)
2024-04-30T18:39:15,815 INFO  com.vinnivso.simplemarket.SimpleMarketApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-30T18:39:15,883 INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-04-30T18:39:15,884 INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-04-30T18:39:17,219 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-04-30T18:39:17,221 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2024-04-30T18:39:17,265 INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.vinnivso.simplemarket.repository.ProductRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2024-04-30T18:39:17,265 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 37 ms. Found 0 JDBC repository interfaces.
2024-04-30T18:39:17,280 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-04-30T18:39:17,281 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-30T18:39:17,323 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 35 ms. Found 1 JPA repository interface.
2024-04-30T18:39:18,550 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-04-30T18:39:18,568 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-04-30T18:39:18,572 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-30T18:39:18,572 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-04-30T18:39:18,649 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-30T18:39:18,651 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2764 ms
2024-04-30T18:39:18,932 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-04-30T18:39:19,206 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:db-simple-market user=SA
2024-04-30T18:39:19,207 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
